編號,案類,發生(現)日期,發生時段,發生(現)地點
1,自行車竊盜,1020630,13~15,台北市松山區三民路151 ~ 180號
2,自行車竊盜,1040101,16~18,台北市大安區住安里四維路124巷1~30號
3,自行車竊盜,1040104,07~09,台北市大安區敦煌里仁愛路四段266巷1~30號
4,自行車竊盜,1040106,13~15,台北市萬華區國興路1~30號
5,自行車竊盜,1040108,07~09,台北市北投區清江里三合街二段481~510號
6,自行車竊盜,1040108,16~18,台北市松山區延壽街391~420號
7,自行車竊盜,1040109,04~06,台北市南港區三重里南港路一段南港展覽館站
8,自行車竊盜,1040109,13~15,台北市內湖區金湖里康寧路三段31~60號
9,自行車竊盜,1040109,13~15,台北市北投區大同里光明路1~30號
10,自行車竊盜,1040110,04~06,台北市內湖區康寧路三段31~60號
11,自行車竊盜,1040110,10~12,台北市松山區三民路121~150號
12,自行車竊盜,1040110,16~18,台北市萬華區西昌街29巷1~30號
13,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
14,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
15,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
16,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
17,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
18,自行車竊盜,1040111,07~09,台北市萬華區萬大路387巷1~30號
19,自行車竊盜,1040111,13~15,台北市北投區大同里光明路1~30號
20,自行車竊盜,1040113,10~12,台北市中正區忠孝東路一段31~60號
21,自行車竊盜,1040115,07~09,台北市信義區中行里福德街221巷4弄1~30號
22,自行車竊盜,1040116,04~06,台北市松山區撫遠街361~390號
23,自行車竊盜,1040117,16~18,台北市大安區仁慈里仁愛路四段1~30號
24,自行車竊盜,1040118,07~09,台北市萬華區西園路二段91~120號
25,自行車竊盜,1040119,07~09,台北市信義區大道里忠孝東路五段781~810號
26,自行車竊盜,1040120,10~12,台北市信義區西村里松壽路1~30號
27,自行車竊盜,1040121,10~12,台北市內湖區南湖里東湖捷運站
28,自行車竊盜,1040121,10~12,台北市內湖區港墘里內湖路一段661~690號
29,自行車竊盜,1040122,22~24,台北市北投區一德里中央北路四段577巷27弄1~30號
30,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段1~30號
31,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段與興華路口
32,自行車竊盜,1040123,19~21,台北市北投區東華里東華街二段301~330號
33,自行車竊盜,1040123,19~21,台北市北投區石牌里自強街91~120號
34,自行車竊盜,1040123,22~24,台北市松山區三民路62巷1~30號
35,自行車竊盜,1040124,22~24,台北市中正區黎明里市民大道一段台北捷運站
36,自行車竊盜,1040125,10~12,台北市中正區東門里愛國東路上
37,自行車竊盜,1040125,10~12,台北市南港區鴻福里成福路31~60號
38,自行車竊盜,1040125,13~15,台北市萬華區西園路二段211~240號
39,自行車竊盜,1040126,10~12,台北市信義區忠孝東路五段市府捷運站
40,自行車竊盜,1040126,13~15,台北市萬華區寶興街121~150號
41,自行車竊盜,1040127,16~18,台北市北投區桃源里中央北路三段53巷1~30號
42,自行車竊盜,1040128,04~06,台北市文山區興邦里興隆路二段181~210號
43,自行車竊盜,1040128,13~15,台北市大安區信義路敦化南路口
44,自行車竊盜,1040129,16~18,台北市大安區敦煌里安和路一段61~90號
45,自行車竊盜,1040130,10~12,台北市萬華區西園路二段241~270號
46,自行車竊盜,1040130,16~18,台北市北投區一德里大度路三段296巷31~60號
47,自行車竊盜,1040131,16~18,台北市中山區松江路361~390號
48,自行車竊盜,1040201,19~21,台北市松山區慶城街1~30號
49,自行車竊盜,1040204,19~21,台北市大同區星明里寧夏路1~30號
50,自行車竊盜,1040205,07~09,台北市北投區關渡里關渡路61~90號
51,自行車竊盜,1040205,16~18,台北市北投區榮光里致遠一路二段31~60號
52,自行車竊盜,1040205,19~21,台北市信義區長春里虎林街82巷31~60號
53,自行車竊盜,1040207,13~15,台北市士林區中山北路五段61~90號
54,自行車竊盜,1040210,10~12,台北市信義區安康里信義路五段象山捷運站
55,自行車竊盜,1040212,07~09,台北市文山區景慶里景福街223巷口
56,自行車竊盜,1040215,10~12,台北市北投區開明里中和街241~270號
57,自行車竊盜,1040215,13~15,台北市松山區南京東路五段211~240號
58,自行車竊盜,1040216,19~21,台北市大安區敦煌里仁愛路四段266巷
59,自行車竊盜,1040217,01~03,台北市文山區興得里興隆路三段211~240號
60,自行車竊盜,1040217,10~12,台北市大安區古莊里羅斯福路三段91~120號
61,自行車竊盜,1040218,07~09,台北市內湖區瑞光里瑞光路112巷58弄
62,自行車竊盜,1040218,22~24,台北市萬華區西門站
63,自行車竊盜,1040219,10~12,台北市信義區安康里虎林街164巷58弄1~30號
64,自行車竊盜,1040220,19~21,台北市北投區榮光里石牌路一段181~210號
65,自行車竊盜,1040222,13~15,台北市大安區辛亥路一段61~90號
66,自行車竊盜,1040222,13~15,台北市中山區圓山捷運站2號出口
67,自行車竊盜,1040225,04~06,台北市大安區黎孝里和平東路三段271~300號
68,自行車竊盜,1040225,10~12,台北市信義區基隆路二段31~60號
69,自行車竊盜,1040226,22~24,台北市文山區樟腳里木新路三段95巷31~60號
70,自行車竊盜,1040228,16~18,台北市南港區新富里忠孝東路七段631~660號
71,自行車竊盜,1040301,01~03,台北市大安區光信里5鄰光復南路421~450號
72,自行車竊盜,1040306,10~12,台北市文山區景華里三福街1~30號
73,自行車竊盜,1040306,13~15,台北市中山區錦州街331~360號
74,自行車竊盜,1040307,10~12,台北市松山區南京東路三段331~360號
75,自行車竊盜,1040308,07~09,台北市大安區法治里通化街181~210號
76,自行車竊盜,1040308,22~24,台北市南港區東明里家樂福前
77,自行車竊盜,1040314,13~15,台北市南港區合成里忠孝東路六段451~480號
78,自行車竊盜,1040315,04~06,台北市大安區古莊里羅斯福路二段101巷1~30號
79,自行車竊盜,1040315,07~09,台北市大安區和平東路一段151~180號
80,自行車竊盜,1040316,19~21,台北市大安區學府里羅斯福路四段1~30號
81,自行車竊盜,1040317,10~12,台北市大安區華聲里市民大路四段211~240號
82,自行車竊盜,1040318,07~09,台北市北投區清江里三合街二段481~510號
83,自行車竊盜,1040318,10~12,台北市松山區松河街91~120號
84,自行車竊盜,1040318,16~18,台北市大安區福住里新生南路二段1~30號
85,自行車竊盜,1040319,07~09,台北市南港區新富里研究院路一段31~60號
86,自行車竊盜,1040319,10~12,台北市士林區中山北路五段61~90號
87,自行車竊盜,1040320,10~12,台北市信義區忠孝東路五段391~420號
88,自行車竊盜,1040321,13~15,台北市大安區黎和里和平東路三段391~420號
89,自行車竊盜,1040322,16~18,台北市大安區古莊里羅斯福路二段101巷1~30號
90,自行車竊盜,1040323,10~12,台北市大安區敦安里敦化南路一段295巷31~60號
91,自行車竊盜,1040327,13~15,台北市中正區建國里博愛路121~150號
92,自行車竊盜,1040328,19~21,台北市中山區大直捷運站1號出口旁
93,自行車竊盜,1040329,10~12,台北市中正區水源里羅斯福路四段52巷16弄口
94,自行車竊盜,1040329,13~15,台北市中正區文盛里汀州路三段151~180號
95,自行車竊盜,1040329,16~18,台北市南港區東新里興南街64巷4弄1~30號
96,自行車竊盜,1040331,10~12,台北市萬華區艋舺大道181~210號
97,自行車竊盜,1040402,07~09,台北市大安區古莊里浦城街6巷1~30號
98,自行車竊盜,1040405,16~18,台北市中山區敬業三路121~150號
99,自行車竊盜,1040405,22~24,台北市內湖區湖元里舊宗路二段內湖運動公園
100,自行車竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241~270號
101,自行車竊盜,1040407,07~09,台北市大安區龍泉里師大路1~30號
102,自行車竊盜,1040408,22~24,台北市大安區敦安里8鄰安和路一段78巷1~30號
103,自行車竊盜,1040409,19~21,台北市北投區榮光里石牌路一段181~210號
104,自行車竊盜,1040410,04~06,台北市文山區萬祥里興隆路一段102巷1~30號
105,自行車竊盜,1040410,07~09,台北市大同區鄰江里酒泉街228巷
106,自行車竊盜,1040412,01~03,台北市大安區昌隆里忠孝東路三段217巷5弄1~30號
107,自行車竊盜,1040412,10~12,台北市文山區興邦里興隆路二段241~270號
108,自行車竊盜,1040414,10~12,台北市北投區福興里自強街5巷31~60號
109,自行車竊盜,1040415,07~09,台北市大同區建泰里南京西路91~120號
110,自行車竊盜,1040415,07~09,台北市萬華區東園街28巷1~30號
111,自行車竊盜,1040415,10~12,台北市大安區福住里永康街31~60號
112,自行車竊盜,1040415,13~15,台北市中山區農安街227巷31~60號
113,自行車竊盜,1040417,10~12,台北市士林區福德里福德路1~30號
114,自行車竊盜,1040420,01~03,台北市文山區興業里興隆路二段220巷31~60號
115,自行車竊盜,1040421,10~12,台北市大安區基隆路三段156巷
116,自行車竊盜,1040421,16~18,台北市文山區景東里景華街104巷口
117,自行車竊盜,1040426,04~06,台北市大同區雙連里重慶北路歸綏街
118,自行車竊盜,1040427,13~15,台北市大安區龍門里建國南路二段241~270號
119,自行車竊盜,1040427,13~15,台北市南港區聯成里忠孝東路六段301~330號
120,自行車竊盜,1040428,10~12,台北市信義區永吉路331~360號
121,自行車竊盜,1040501,01~03,台北市大安區德安里四維路76巷
122,自行車竊盜,1040501,16~18,台北市大安區福住里新生南路二段31~60號
123,自行車竊盜,1040501,22~24,台北市信義區六合里信義路五段150巷271~300號
124,自行車竊盜,1040503,13~15,台北市松山區撫遠街391~420號
125,自行車竊盜,1040503,19~21,台北市中正區黎明里市民大道
126,自行車竊盜,1040507,19~21,台北市文山區樟文里忠順街一段1~30號
127,自行車竊盜,1040507,22~24,台北市文山區樟樹里木新路三段151~180號
128,自行車竊盜,1040509,13~15,台北市士林區蘭雅里德行東路109巷61~90號
129,自行車竊盜,1040509,19~21,台北市中正區臺大醫院捷運站
130,自行車竊盜,1040510,10~12,台北市士林區義信里中山北路五段61~90號
131,自行車竊盜,1040510,13~15,台北市信義區松友里信義路六段72巷2弄31~60號
132,自行車竊盜,1040510,22~24,台北市萬華區青年路106巷1~30號
133,自行車竊盜,1040511,04~06,台北市文山區興邦里興隆路二段181~210號
134,自行車竊盜,1040513,10~12,台北市萬華區貴陽街151~180號
135,自行車竊盜,1040516,22~24,台北市大安區龍門里新生南路二段1~30號
136,自行車竊盜,1040517,16~18,台北市中正區文祥里金山南路一段101巷1~30號
137,自行車竊盜,1040517,16~18,台北市大同區大龍街1~30號
138,自行車竊盜,1040518,16~18,台北市信義區安康里松德路興雅國中校門口
139,自行車竊盜,1040519,19~21,台北市士林區義信里中山北路五段61~90號
140,自行車竊盜,1040520,07~09,台北市大安區龍圖里信義路三段181~210號
141,自行車竊盜,1040521,13~15,台北市中正區中正紀念堂
142,自行車竊盜,1040526,07~09,台北市中山區撫順公園
143,自行車竊盜,1040527,16~18,台北市內湖區港墘里內湖路一段629巷31~60號
144,自行車竊盜,1040528,13~15,台北市士林區中山北路五段61~90號
145,自行車竊盜,1040529,01~03,台北市中正區黎明里武昌街一段1~30號
146,自行車竊盜,1040529,04~06,台北市文山區萬興里指南路二段1~30號
147,自行車竊盜,1040529,07~09,台北市文山區木柵里木柵路三段85巷14弄1~30號
148,自行車竊盜,1040530,10~12,台北市松山區民生東路五段36巷6弄1~30號
149,自行車竊盜,1040530,16~18,台北市北投區吉利里致遠二路61~90號
150,自行車竊盜,1040601,01~03,台北市大同區建泰里南京西路18巷1~30號
151,自行車竊盜,1040601,04~06,台北市大安區芳和里樂業街94巷1~30號
152,自行車竊盜,1040602,13~15,台北市北投區泉源里東昇路91~120號
153,自行車竊盜,1040603,10~12,台北市大安區學府里16鄰羅斯福路四段1~30號
154,自行車竊盜,1040604,07~09,台北市北投區立農里立農街一段279巷2弄1~30號
155,自行車竊盜,1040604,13~15,台北市信義區廣居里忠孝東路五段451~480號
156,自行車竊盜,1040604,22~24,台北市中正區幸福里忠孝東路一段84巷
157,自行車竊盜,1040605,04~06,台北市大安區光明里杭州南路二段9巷1~30號
158,自行車竊盜,1040606,01~03,台北市大安區錦安里7鄰金山南路二段185巷1~30號
159,自行車竊盜,1040607,10~12,台北市北投區關渡里知行路301~330號
160,自行車竊盜,1040609,01~03,台北市士林區社園里延平北路六段151~180號
161,自行車竊盜,1040609,04~06,台北市內湖區康樂街136巷29弄31~60號
162,自行車竊盜,1040609,16~18,台北市信義區松智路與松廉路口
163,自行車竊盜,1040609,19~21,台北市文山區明義里木柵路二段31~60號
164,自行車竊盜,1040610,01~03,台北市北投區福興里自強街31巷31~60號
165,自行車竊盜,1040610,01~03,台北市北投區福興里自強街31巷31~60號
166,自行車竊盜,1040613,04~06,台北市松山區南京東路五段291巷47弄
167,自行車竊盜,1040613,10~12,台北市中山區新生北路三段31~60號
168,自行車竊盜,1040613,13~15,台北市北投區榮華里東華街一段48巷1~30號
169,自行車竊盜,1040613,16~18,台北市中正區東門里信義路一段1~30號
170,自行車竊盜,1040613,22~24,台北市南港區九如里研究院路二段211~240號
171,自行車竊盜,1040614,22~24,台北市文山區景東里景華街82巷1~30號
172,自行車竊盜,1040615,16~18,台北市大安區敦安里6鄰仁愛路四段121~150號
173,自行車竊盜,1040616,22~24,台北市大安區龍泉里師大路1~30號
174,自行車竊盜,1040619,04~06,台北市中山區松江路301~330號
175,自行車竊盜,1040619,04~06,台北市內湖區民權東路六段296巷31~60號
176,自行車竊盜,1040622,07~09,台北市南港區合成里忠孝東路六段1~30號
177,自行車竊盜,1040623,07~09,台北市南港區合成里昆陽捷運站旁停車場
178,自行車竊盜,1040623,07~09,台北市大安區和平東路三段181~210號
179,自行車竊盜,1040623,07~09,台北市南港區昆陽捷運站腳踏車停車場
180,自行車竊盜,1040625,04~06,台北市信義區興雅里永吉路30巷121~150號
181,自行車竊盜,1040625,13~15,台北市信義區興雅里松高路1~30號
182,自行車竊盜,1040629,19~21,台北市北投區吉利里西安街一段
183,自行車竊盜,1040630,13~15,台北市大同區玉泉里鄭州路121~150號
184,自行車竊盜,1040701,19~21,台北市松山區南京東路五段三民路捷運三民南京站
185,自行車竊盜,1040701,22~24,台北市中正區文盛里羅斯福路四段1~30號
186,自行車竊盜,1040702,19~21,台北市文山區樟文里辛亥路七段69巷1~30號
187,自行車竊盜,1040702,19~21,台北市中正區三愛里信義路二段241~270號
188,自行車竊盜,1040703,19~21,台北市信義區興雅里忠孝東路五段1~30號
189,自行車竊盜,1040704,13~15,台北市中山區天祥路1~30號
190,自行車竊盜,1040705,10~12,台北市大安區學府里羅斯福路四段1~30號
191,自行車竊盜,1040705,16~18,台北市信義區永春里忠孝東路五段後山埤捷運站
192,自行車竊盜,1040706,13~15,台北市中山區中山北路二段91~120號
193,自行車竊盜,1040707,13~15,台北市大安區新龍里建國南路二段121~150號
194,自行車竊盜,1040707,16~18,台北市萬華區中華路二段504巷1~30號
195,自行車竊盜,1040708,10~12,台北市文山區萬隆里萬隆街61~90號
196,自行車竊盜,1040710,10~12,台北市松山區光復北路61 ~ 90號
197,自行車竊盜,1040712,13~15,台北市北投區文林里文林北路241~270號
198,自行車竊盜,1040712,19~21,台北市北投區文林里文林北路241~270號
199,自行車竊盜,1040713,10~12,台北市松山區新東街60巷1~30號
200,自行車竊盜,1040714,10~12,台北市北投區中央里大興街24巷6弄1~30號
201,自行車竊盜,1040714,19~21,台北市中山區劍南路捷運站
202,自行車竊盜,1040714,22~24,台北市北投區石牌里自強街120巷15弄口
203,自行車竊盜,1040715,16~18,台北市大同區國慶里民族西路252(大同公園）巷
204,自行車竊盜,1040715,16~18,台北市大同區國慶里民族西路252(大同公園）巷
205,自行車竊盜,1040716,16~18,台北市文山區興泰里15鄰辛亥路四段130巷
206,自行車竊盜,1040718,16~18,台北市南港區中南里忠孝東路七段361~390號
207,自行車竊盜,1040720,22~24,台北市中山區建國南路一段1~30號
208,自行車竊盜,1040722,10~12,台北市北投區永明里立農街二段331~360號
209,自行車竊盜,1040726,13~15,台北市中正區新營里羅斯福路一段1~30號
210,自行車竊盜,1040727,07~09,台北市南港區成福里成福路241~270號
211,自行車竊盜,1040727,19~21,台北市大安區古莊里浦城街1~30號
212,自行車竊盜,1040728,16~18,台北市士林區義信里中山北路五段61~90號劍潭捷運站1號出口
213,自行車竊盜,1040728,16~18,台北市士林區義信里中山北路五段61~90號劍潭捷運站1號出口
214,自行車竊盜,1040801,13~15,台北市文山區興福里13鄰興隆路二段22巷8弄1~30號
215,自行車竊盜,1040802,10~12,台北市中山區民族東路181~210號
216,自行車竊盜,1040803,01~03,台北市信義區長春里虎林街82巷1~30號
217,自行車竊盜,1040803,13~15,台北市文山區景華里三福街1~30號
218,自行車竊盜,1040804,07~09,台北市北投區榮光里西安街一段石牌捷運站2號出口附近
219,自行車竊盜,1040805,19~21,台北市內湖區內湖路一段387巷3弄1~30號
220,自行車竊盜,1040806,01~03,台北市信義區景勤里吳興街156巷31~60號
221,自行車竊盜,1040806,19~21,台北市萬華區民和街31~60號
222,自行車竊盜,1040807,19~21,台北市北投區大同里光明路1~30號
223,自行車竊盜,1040809,19~21,台北市士林區福德里福德路1~30號
224,自行車竊盜,1040810,13~15,台北市南港區三重里三重路1~30號
225,自行車竊盜,1040810,13~15,台北市北投區大同里光明路1 ~ 30號
226,自行車竊盜,1040810,19~21,台北市北投區石牌里明德路91~120號
227,自行車竊盜,1040814,10~12,台北市信義區永春里中坡北路15巷口
228,自行車竊盜,1040814,22~24,台北市南港區三重里南港展覽館捷運站1~30號出口
229,自行車竊盜,1040815,10~12,台北市北投區承德路7段洲美橋下
230,自行車竊盜,1040815,22~24,台北市士林區文林路91~120號
231,自行車竊盜,1040816,01~03,台北市信義區興隆里忠孝東路四段國館捷運出口
232,自行車竊盜,1040816,10~12,台北市大安區建倫里忠孝東路四段121~150號
233,自行車竊盜,1040817,19~21,台北市南港區新光里忠孝東路六段451~480號
234,自行車竊盜,1040817,19~21,台北市士林區天玉里中山北路七段51巷1~30號
235,自行車竊盜,1040819,13~15,台北市大安區信義路與敦化路口
236,自行車竊盜,1040820,01~03,台北市中正區黎明里館前路1~30號
237,自行車竊盜,1040821,07~09,台北市大同區光能里赤峰街41巷1~30號
238,自行車竊盜,1040821,07~09,台北市大同區光能里赤峰街41巷1~30號
239,自行車竊盜,1040821,13~15,台北市大安區義安里信義路四段181~210號
240,自行車竊盜,1040823,10~12,台北市中正區黎明里忠孝西路一段31~60號
241,自行車竊盜,1040824,22~24,台北市信義區興雅里忠孝東路五段市府捷運站YOUBIKE自行車停放區
242,自行車竊盜,1040826,19~21,台北市大安區芳和里5鄰和平東路三段151~180號
243,自行車竊盜,1040828,16~18,台北市內湖區康樂街76巷1~30號
244,自行車竊盜,1040830,07~09,台北市士林區福德里中正路435巷1~30號
245,自行車竊盜,1040830,16~18,台北市北投區石牌里明德路91~120號
246,自行車竊盜,1040830,16~18,台北市大安區住安里復興南路二段1~30號
247,自行車竊盜,1040831,10~12,台北市南港區合成里忠孝東路6段403巷口
248,自行車竊盜,1040901,16~18,台北市士林區承德里基河路1~30號劍潭捷運站2號出口
249,自行車竊盜,1040902,22~24,台北市大安區古風里雲和街61~90號
250,自行車竊盜,1040903,04~06,台北市信義區新仁里忠孝東路四段光復南路口
251,自行車竊盜,1040904,13~15,台北市文山區興泰里辛亥路四段辛亥捷運站自行車停車格
252,自行車竊盜,1040906,19~21,台北市大同區玉泉里捷運北門站1號出口
253,自行車竊盜,1040907,16~18,台北市大安區學府里辛亥路與羅斯福路口
254,自行車竊盜,1040907,16~18,台北市北投區光明路1~30號
255,自行車竊盜,1040908,04~06,台北市士林區舊佳里中正路211~240號
256,自行車竊盜,1040909,16~18,台北市北投區石牌里西安街一段明德捷運站旁人行道
257,自行車竊盜,1040910,04~06,台北市士林區義信里中山北路五段61~90號
258,自行車竊盜,1040910,10~12,台北市內湖區民權東路六段136巷31~60號
259,自行車竊盜,1040911,04~06,台北市士林區德行里福國路61~90號
260,自行車竊盜,1040912,10~12,台北市士林區義信里中山北路五段61~90號
261,自行車竊盜,1040912,22~24,台北市大同區老師里延平北路四段181~210號
262,自行車竊盜,1040913,07~09,台北市中正區黎明里北平西路三段(臺北火車站外東北角行人道)
263,自行車竊盜,1040913,19~21,台北市中正區黎明里常德街1~30號台大醫院捷運站2號出口
264,自行車竊盜,1040914,16~18,台北市中山區華陰街24巷6弄
265,自行車竊盜,1040915,01~03,台北市中正區新營里羅斯福路一段83巷1~30號
266,自行車竊盜,1040915,01~03,台北市松山區民生東路五段137巷口
267,自行車竊盜,1040915,04~06,台北市中山區建國北路二段91~120號
268,自行車竊盜,1040915,04~06,台北市中正區文祥里杭州南路一段101巷1~30號
269,自行車竊盜,1040915,19~21,台北市中正區幸福里忠孝東路一段58巷1~30號
270,自行車竊盜,1040915,19~21,台北市大安區復興南路1段361 ~ 390號
271,自行車竊盜,1040915,22~24,台北市大安區瑞安街208巷1~30號
272,自行車竊盜,1040917,04~06,台北市信義區基隆路一段121 ~ 150號
273,自行車竊盜,1040917,16~18,台北市萬華區西寧南路61~90號
274,自行車竊盜,1040918,04~06,台北市大安區羅斯福路二段15巷
275,自行車竊盜,1040919,16~18,台北市大同區鄭州路121~150號
276,自行車竊盜,1040919,19~21,台北市士林區葫東里重慶北路四段220巷1~30號
277,自行車竊盜,1040919,22~24,台北市中正區建國里中山南路與愛國西路口
278,自行車竊盜,1040921,16~18,台北市文山區萬年里羅斯福路五段170巷公館街口
279,自行車竊盜,1040923,07~09,台北市士林區社園里延平北路六段151~180號
280,自行車竊盜,1040923,16~18,台北市中正區南門里廣州街8巷口
281,自行車竊盜,1040924,04~06,台北市大同區至聖里承德路三段225巷1~30號
282,自行車竊盜,1040924,07~09,台北市大同區至聖里承德路三段225巷1~30號
283,自行車竊盜,1040926,22~24,台北市松山區市民大道六段腳踏車停放區
284,自行車竊盜,1040929,07~09,台北市中山區南京東路三段與龍江路口
285,自行車竊盜,1041001,10~12,台北市大安區學府里羅斯福路四段1~30號
286,自行車竊盜,1041001,22~24,台北市中山區圓山捷運站自行車停車場
287,自行車竊盜,1041002,22~24,台北市內湖區港墘路127巷1~30號
288,自行車竊盜,1041004,01~03,台北市大安區杭州南路二段93巷31~60號
289,自行車竊盜,1041004,19~21,台北市萬華區漢口街二段61~90號
290,自行車竊盜,1041005,16~18,台北市大同區光能里南京西路25巷1~30號
291,自行車竊盜,1041005,16~18,台北市中山區南京西路25巷1~30號
292,自行車竊盜,1041007,16~18,台北市南港區舊莊里舊莊街一段1~30號
293,自行車竊盜,1041007,19~21,台北市大同區玉泉里鄭州路121~150號
294,自行車竊盜,1041010,07~09,台北市中正區富水里思源街1 ~ 30號
295,自行車竊盜,1041010,10~12,台北市萬華區永福街30~60號
296,自行車竊盜,1041010,10~12,台北市南港區中南里忠孝東路七段571~600號
297,自行車竊盜,1041010,19~21,台北市信義區四育里虎林街46巷31~60號
298,自行車竊盜,1041011,04~06,台北市大同區揚雅里昌吉街61巷35弄1~30號
299,自行車竊盜,1041011,04~06,台北市大同區揚雅里昌吉街61巷35弄1~30號
300,自行車竊盜,1041011,07~09,台北市大同區蓬萊里重慶北路三段30~60號
301,自行車竊盜,1041011,16~18,台北市士林區葫東里延平北路五段181~210號
302,自行車竊盜,1041012,16~18,台北市大安區敦安里仁愛路與安和路口
303,自行車竊盜,1041013,13~15,台北市北投區一德里大度路三段296巷關渡捷運站區
304,自行車竊盜,1041014,10~12,台北市內湖區安泰街53巷1~30號
305,自行車竊盜,1041015,07~09,台北市中正區富水里思源街1~30號
306,自行車竊盜,1041016,13~15,台北市中山區德惠街1~30號
307,自行車竊盜,1041019,04~06,台北市中正區富水里思源街1~30號
308,自行車竊盜,1041019,13~15,台北市中正區幸市里忠孝東路二段91~120號
309,自行車竊盜,1041021,16~18,台北市大同區景星里伊寧街48巷1~30號
310,自行車竊盜,1041023,07~09,台北市大安區華聲里忠孝東路四段301~330號
311,自行車竊盜,1041026,10~12,台北市中正區板溪里和平西路一段31~60號
312,自行車竊盜,1041026,19~21,台北市文山區景華里景華街22巷1~30號
313,自行車竊盜,1041027,04~06,台北市文山區萬年里羅斯福路5段31~60號
314,自行車竊盜,1041027,10~12,台北市士林區聖山里忠誠路一段171巷10弄1~30號
315,自行車竊盜,1041027,19~21,台北市萬華區西昌街21巷1 ~ 30號
316,自行車竊盜,1041101,10~12,台北市大同區保安里重慶北路三段295巷21弄1~30號
317,自行車竊盜,1041102,07~09,台北市大同區永樂里民樂街31~60號
318,自行車竊盜,1041103,13~15,台北市中正區愛國西路與重慶南路小南門站2號出口
319,自行車竊盜,1041103,19~21,台北市信義區松隆里福德街1~30號
320,自行車竊盜,1041103,19~21,台北市大安區龍圖里信義路三段181 ~ 210號
321,自行車竊盜,1041105,01~03,台北市大同區建明里華陰街31~60號
322,自行車竊盜,1041105,19~21,台北市內湖區內湖路一段661~690號
323,自行車竊盜,1041108,13~15,台北市萬華區桂林路1~30號
324,自行車竊盜,1041109,04~06,台北市大安區敦安里敦化南路一段295巷31~60號
325,自行車竊盜,1041110,16~18,台北市信義區景新里莊敬路211~240號
326,自行車竊盜,1041111,10~12,台北市內湖區文德路211 ~ 240號
327,自行車竊盜,1041111,22~24,台北市信義區西村里基隆路一段331~360號
328,自行車竊盜,1041112,13~15,台北市內湖區民權東路四段181 ~ 210號
329,自行車竊盜,1041115,10~12,台北市北投區石牌里西安街一段121~150號
330,自行車竊盜,1041115,10~12,台北市大安區龍生里和平東路二段151~180號
331,自行車竊盜,1041120,22~24,台北市大安區仁慈里復興南路一段295巷13弄1~30號
332,自行車竊盜,1041121,01~03,台北市中正區東門里徐州路1 ~ 30號
333,自行車竊盜,1041121,10~12,台北市北投區福興里致遠一路二段31~60號
334,自行車竊盜,1041122,01~03,台北市中山區錦州街421~450號
335,自行車竊盜,1041122,16~18,台北市信義區興雅里松高路1~30號
336,自行車竊盜,1041122,16~18,台北市中正區南福里南昌路一段126巷1 ~ 30號
337,自行車竊盜,1041123,07~09,台北市北投區榮光里石牌路一段166巷121~150號
338,自行車竊盜,1041124,13~15,台北市北投區中央里中央南路二段1~30號
339,自行車竊盜,1041126,13~15,台北市信義區泰和里吳興街600巷100弄91~120號
340,自行車竊盜,1041127,16~18,台北市南港區萬福里同德路61 ~ 90號
341,自行車竊盜,1041128,16~18,台北市萬華區廣州街211~240號
342,自行車竊盜,1041201,13~15,台北市內湖區民權東路六段120巷1弄1 ~ 30號
343,自行車竊盜,1041202,01~03,台北市松山區復興北路151 ~ 180號
344,自行車竊盜,1041203,01~03,台北市中山區民生西路45巷3弄1 ~ 30號
345,自行車竊盜,1041203,04~06,台北市北投區榮光里石牌路一段166巷61 ~ 90號
346,自行車竊盜,1041203,13~15,台北市北投區裕民里東陽街411巷1~30號
347,自行車竊盜,1041203,13~15,台北市北投區裕民里東陽街411巷1~30號
348,自行車竊盜,1041203,16~18,台北市南港區合成里永吉路601 ~ 630號
349,自行車竊盜,1041204,22~24,台北市北投區石牌里西安街一段165巷對面人行道
350,自行車竊盜,1041205,13~15,台北市中正區黎明里1 ~ 30號
351,自行車竊盜,1041206,04~06,台北市內湖區東湖路113巷49弄31 ~ 60號
352,自行車竊盜,1041210,01~03,台北市文山區興豐里興隆路二段241 ~ 270號
353,自行車竊盜,1041210,22~24,台北市大同區雙連里雙連街31~60號
354,自行車竊盜,1041213,10~12,台北市大同區蓬萊里承德路三段51巷1 ~ 30號
355,自行車竊盜,1041219,22~24,台北市大同區蔣渭水公園之YOUBIKE租借站
356,自行車竊盜,1041220,13~15,台北市中山區北安路569之1 ~ 30號
357,自行車竊盜,1041220,16~18,台北市大安區羅斯福路四段1 ~ 30號
358,自行車竊盜,1041224,16~18,台北市北投區榮光里西安街二段石牌國中側門人行道上
359,自行車竊盜,1041225,13~15,台北市文山區景華里景興路46巷景興國中左側門
360,自行車竊盜,1041225,16~18,台北市中山區新生北路三段88巷口
361,自行車竊盜,1041225,16~18,台北市中山區農安街31 ~ 60號
